證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3092","鴻碩","130559","4107955","31.80","31.80","31.25","31.35","-0.5000","292"
"3094","聯傑","266980","8309147","31.60","31.60","30.90","31.00","-0.6000","189"
"3130","一零四","26535","6210597","235.00","235.00","233.00","233.00","-2.0000","141"
"3138","耀登","354890","45491214","131.50","131.50","127.00","127.00","-5.0000","453"
"3149","正達","890065","21777250","24.55","25.05","24.00","24.10","-0.4000","598"
"3164","景岳","104807","2579005","24.65","24.75","24.40","24.65","0.0500","185"
"3167","大量","194141","11099032","57.80","57.80","56.60","56.70","-0.6000","181"
"3168","眾福科","40749","2598063","64.20","64.30","63.50","64.00","0.3000","129"
"3189","景碩","2781432","255865852","93.20","93.20","91.50","92.00","-1.3000","3072"
"3209","全科","745863","26566908","36.00","36.00","35.40","35.40","-0.6000","573"
"3229","晟鈦","748872","17503790","23.35","23.40","23.30","23.40","2.1000","305"
"3231","緯創","55583288","6016813294","109.50","110.00","107.00","107.50","-2.0000","36027"
"3257","虹冠電","359688","21711945","60.80","61.10","59.00","60.60","-0.1000","303"
"3266","昇陽","1707105","45341815","27.10","27.10","26.20","26.50","-0.6000","840"
"3296","勝德","666075","15802134","23.60","24.30","23.20","24.30","0.8000","461"
"3305","昇貿","2289678","174926441","77.90","77.90","75.50","76.10","-0.9000","2238"
"3308","聯德","362161","10178621","29.15","29.15","27.50","27.50","-1.1500","546"
"3311","閎暉","87456","3504541","40.50","40.50","39.80","39.80","-0.5000","177"
"3312","弘憶股","3751438","256073000","67.70","69.00","67.50","68.90","2.0000","2801"
"3321","同泰","2308567","48433638","22.45","22.45","20.25","20.55","-1.6000","1555"
"3338","泰碩","3666912","314193570","86.80","87.10","84.50","85.00","-2.1000","3048"
"3346","麗清","1252823","53381048","43.10","43.30","41.90","41.90","-0.5500","941"
"3356","奇偶","2815852","202736388","73.50","74.00","71.10","71.10","-1.9000","2207"
"3376","新日興","20241935","4854618181","235.50","246.50","230.50","242.50","9.0000","14851"
"3380","明泰","1732603","59902105","34.85","34.95","34.30","34.60","-0.2000","1146"
"3406","玉晶光","2533188","1386287885","550.00","558.00","540.00","545.00","-8.0000","2658"
"3413","京鼎","1400454","434710459","308.00","314.00","306.50","308.00","1.5000","2122"
"3416","融程電","470453","73874291","157.00","160.00","155.00","155.50","-3.0000","446"
"3419","譁裕","2325861","42221419","17.80","18.70","17.70","17.80","0.5000","1246"
"3432","台端","584086","15338348","25.80","26.55","25.35","26.55","2.4000","326"
"3437","榮創","992075","27075806","28.00","28.20","26.90","26.95","-0.6000","752"
"3443","創意","2529726","3971726610","1615.00","1615.00","1535.00","1560.00","-45.0000","5848"
"3447","展達","71217","2284852","32.60","32.60","31.80","31.80","-0.7500","64"
"3450","聯鈞","9637605","841874166","87.50","89.00","85.30","88.00","0.5000","6465"
"3454","晶睿","531463","76220819","144.50","146.50","140.00","140.00","-4.5000","578"
"3481","群創","49015447","659651888","13.60","13.60","13.35","13.35","-0.3000","11901"
"3494","誠研","334970","2334201","7.15","7.15","6.90","6.95","0.1200","113"
"3501","維熹","649498","45189222","69.30","70.20","68.60","69.90","1.4000","577"
"3504","揚明光","492639","28396583","59.50","59.50","56.70","56.70","-2.3000","721"
"3515","華擎","562820","128990103","232.00","232.50","227.00","228.00","-1.0000","750"
"3518","柏騰","187128","5708747","30.70","30.70","30.30","30.30","-0.3000","137"
"3528","安馳","26091","1276348","48.85","49.10","48.80","49.00","-0.1500","44"
"3530","晶相光","632997","67013144","104.00","107.50","104.00","106.50","2.5000","575"
"3532","台勝科","1454996","254146044","177.50","177.50","172.50","174.00","-3.0000","2497"
"3533","嘉澤","898976","1415853355","1585.00","1595.00","1555.00","1565.00","-15.0000","1195"
"3535","晶彩科","13059676","407557192","32.00","32.00","30.15","30.15","1.0500","5975"
"3543","州巧","196010","4539919","23.45","23.45","23.05","23.25","-0.3000","108"
"3545","敦泰","2432965","218732409","91.70","91.80","88.60","88.70","-2.9000","2313"
"3550","聯穎","56462","870289","15.45","15.50","15.30","15.30","-0.1500","65"
"3557","嘉威","798387","60067620","78.00","78.00","73.80","74.60","-3.0000","793"
"3563","牧德","1539652","602501369","378.00","401.50","376.00","397.50","26.5000","2008"
"3576","聯合再生","5302413","63710288","12.20","12.25","11.90","11.95","-0.3500","2306"
"3583","辛耘","4957751","1736621834","346.00","358.00","342.50","349.50","2.5000","5195"
"3588","通嘉","738438","63969845","89.00","89.10","85.00","85.00","-1.7000","1225"
"3591","艾笛森","1367768","37420190","27.75","27.75","27.10","27.55","-0.2500","762"
"3592","瑞鼎","1515213","625803868","419.00","419.00","407.50","418.00","-0.5000","1639"
"3593","力銘","163744","1935055","11.85","12.40","11.50","11.85","-0.0500","123"
"3596","智易","965458","155139637","160.50","161.50","159.50","160.50","0.0000","1027"
"3605","宏致","1297107","62502623","49.20","49.60","47.45","48.10","-1.5500","1768"
"3607","谷崧","811044","14317477","18.35","18.35","17.30","17.35","-0.8500","531"
"3617","碩天","637225","171380737","273.00","273.00","266.50","267.50","-3.5000","1023"
"3622","洋華","12784431","858921891","66.80","67.80","65.10","67.80","6.1000","8044"
"3645","達邁","592107","24439856","41.90","42.20","40.65","40.85","-0.6500","494"
"3652","精聯","389084","12556717","32.30","33.25","31.45","32.60","0.3000","247"
"3653","健策","563441","564533970","993.00","1020.00","978.00","1015.00","23.0000","831"
"3661","世芯-KY","4007393","10992544970","2885.00","2895.00","2670.00","2675.00","-245.0000","24568"
"3665","貿聯-KY","9886723","2934872460","292.50","301.00","291.00","291.00","3.0000","12280"
"3669","圓展","274908","14585940","54.10","54.30","52.50","52.50","-2.1000","253"
"3673","TPK-KY","1596756","58595528","37.10","37.20","36.40","36.50","-0.5500","1047"
