src,pic_url,title,url,date
經濟日報 記者崔馨方／即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/06/2/29772272.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600,"台股盤中站上22,000點！終場紅翻黑跌66點收21,792點 台積電漲4元",https://money.udn.com/money/story/5607/8023140?from=edn_hottestlist_rank,2024-06-11 13:48
經濟日報 新聞部新媒體中心,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/06/realtime/29767236.jpg&s=Y&x=0&y=0&sw=1417&sh=944&sl=W&fw=300&exp=3600,"連假精選2／台積電領軍除息、填息大秀 台股將迎1,160億資金活水",https://money.udn.com/money/story/5607/8021572?from=edn_hottestlist_rank,2024-06-10 18:03
經濟日報 記者徐牧民/台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/29/realtime/29732819.jpg&s=Y&x=0&y=26&sw=3547&sh=2364&sl=W&fw=300&exp=3600,散熱三雄熱度再起 奇鋐盤中股價勁揚 雙鴻、健策表現亮,https://money.udn.com/money/story/5607/8022691?from=edn_hottestlist_rank,2024-06-11 11:22
經濟日報 記者李孟珊／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/10/realtime/29794991.jpg&s=Y&x=344&y=76&sw=1197&sh=798&sl=W&fw=300&exp=3600,十銓：DDR5報價看漲,https://money.udn.com/money/story/5710/8021663?from=edn_hottestlist_rank,2024-06-10 23:36
經濟日報 記者朱曼寧／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/2/29785200.jpg&s=Y&x=0&y=24&sw=1279&sh=853&sl=W&fw=300&exp=3600,潤泰新商辦掀搶租潮,https://money.udn.com/money/story/5710/8021679?from=edn_hottestlist_rank,2024-06-10 23:20
經濟日報 記者林政鋒／高雄報導,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg,中鋼Q3盤價沒調降理由,https://money.udn.com/money/story/5710/8021670?from=edn_hottestlist_rank,2024-06-10 23:16
經濟日報 記者徐牧民/台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/2/29799695.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600,台股下跌66點 三大法人賣超403億元,https://money.udn.com/money/story/5607/8023374?from=edn_hottestlist_rank,2024-06-11 15:14
經濟日報 記者蕭君暉／台北報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/20/realtime/29687278.jpg&s=Y&x=0&y=56&sw=1889&sh=1259&sl=W&fw=300&exp=3600,貿聯打入輝達供應鏈,https://money.udn.com/money/story/5710/8021657?from=edn_hottestlist_rank,2024-06-10 23:37
經濟日報 記者謝柏宏／台北報導,https://udn.com/upf/2017_news/noimg_cid1001_1.jpg,台塑四寶大戶持股比下滑 散戶暴增,https://money.udn.com/money/story/5607/8021894?from=edn_hottestlist_rank,2024-06-11 02:35
經濟日報 記者邱馨儀、宋健生／綜合報導,https://udn.com/upf/2017_news/noimg_cid1001_9.jpg,漢翔攜美商攻無人機,https://money.udn.com/money/story/5710/8021650?from=edn_hottestlist_rank,2024-06-10 23:22
