src,title,url,date,pic_url
經濟日報 記者王皓正／台北報導,政策強棒股交投主旋律 緯穎、雷虎、台光電可留意,https://money.udn.com/money/story/5607/7989752?from=edn_hottestlist_rank,2024-05-27 01:40,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/26/realtime/29716816.jpg&s=Y&x=0&y=0&sw=897&sh=598&sl=W&fw=300&exp=3600
經濟日報 記者馬琬淳∕台北即時報導,海運旺季提前 WCI 貨櫃運價大漲16% 陽明、萬海跳空上漲,https://money.udn.com/money/story/5710/7990750?from=edn_hottestlist_rank,2024-05-27 11:53,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/09/1/29635951.jpg&s=Y&x=0&y=0&sw=1253&sh=835&sl=W&fw=300&exp=3600
經濟日報 記者林政鋒／高雄報導,榮剛航太肥單湧進,https://money.udn.com/money/story/11074/7989686?from=edn_hottestlist_rank,2024-05-27 00:47,https://udn.com/upf/2017_news/noimg_cid1001_4.jpg
經濟日報 記者徐牧民/台北即時報導,Nvidia 黃仁勳提前來台 散熱族群火燙、健策成功重返千金,https://money.udn.com/money/story/5710/7990583?from=edn_hottestlist_rank,2024-05-27 10:57,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/04/27/2/29545590.jpg&s=Y&x=220&y=0&sw=1044&sh=696&sl=W&fw=300&exp=3600
經濟日報 記者崔馨方／即時報導,"黃仁勳引領 AI 旋風再襲 台積電收869元、台股強漲238點收21,803點創新高 ",https://money.udn.com/money/story/5607/7991054?from=edn_hottestlist_rank,2024-05-27 13:44,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/2/29707184.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者周克威／台北報導,股東會旺季本周516家登場 景氣展望牽動台股走勢,https://money.udn.com/money/story/5607/7989980?from=edn_hottestlist_rank,2024-05-27 03:17,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/24/2/29706614.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者 廖賢龍,最牛一輪／矽統喊衝 凱基3A按讚,https://money.udn.com/money/story/5739/7989649?from=edn_hottestlist_rank,2024-05-27 00:40,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/2/29717156.jpg&s=Y&x=50&y=50&sw=480&sh=320&exp=3600
經濟日報 記者李珣瑛／新竹報導,帆宣在手訂單逾600億,https://money.udn.com/money/story/5710/7989608?from=edn_hottestlist_rank,2024-05-27 00:59,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/26/realtime/29716668.jpg&s=Y&x=0&y=60&sw=944&sh=629&sl=W&fw=300&exp=3600
經濟日報 記者王皓正／台北報導,台達電、寶成 四檔俏,https://money.udn.com/money/story/5739/7989677?from=edn_hottestlist_rank,2024-05-27 00:44,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/03/2/29590895.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600
經濟日報 記者張瀞文／台北報導,富邦金目標價喊80.5元,https://money.udn.com/money/story/5710/7989625?from=edn_hottestlist_rank,2024-05-27 01:07,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg
